_RowType_,_chk,GAESUL_YEAR,GAESUL_TERM,CAMPUS_GB,CAMPUS_NM,HAKWI_NAME,JUKYONGHAKWI_GB,GRADE_NAME,ISU_NAME,HAKSU_NO,BUNBAN,HAKSU_NO_BUNBAN,GWAMOK_NAME,GWAMOK_ENG_NAME,HAKJUM,PER_NAME,PER_ID,GYOSI_NAME,HYUNGTAE,BIGO,SUUP_TYPE_CD,SUUP_TYPE_NM,BOKSUJUNGONG_YN_NAME,ABEEK_YN,ISU_NAME2,ISU_NAME3,HAKBU_JIBJUNG_GB,HAKBU_JIBJUNG_GB_NM,LECTURE_PLAN_TYPE,ABK_PROGRAM,INTRO_URL,INFORM
N,0,2026,10,2,자연과학,학사,01,,전공심화,SWE2028,41,SWE2028-41,산학협력프로젝트,Industry-Academy Cooperation Project,1(0),우홍욱,229343,미지정,일반수업,,,,,,전공일반,전공심화,N,해당없음,1,,,
N,0,2026,10,2,자연과학,학사,01,,전공기반,SWE3002,41,SWE3002-41,소프트웨어공학개론,Introduction to Software Engineering,3(3),이은석,195034,금15:00-16:15【85613】【1.5h(ON)+1.5h(OFF)】,일반수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공핵심,전공코어,N,해당없음,5,,,*플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,10,2,자연과학,학사,01,,전공기반,SWE3002,42,SWE3002-42,소프트웨어공학개론,Introduction to Software Engineering,3(3),차수영,237057,화10:30-11:45【미지정】/목09:00-10:15【미지정】,국제어수업,,32,온라인[사전제작],,,전공핵심,전공코어,N,해당없음,5,,,
N,0,2026,10,2,자연과학,학사,01,,전공기반,SWE3003,41,SWE3003-41,데이터베이스개론,Introduction to Database,3(3),남범석,230171,월12:00-13:15【26515】/수13:30-14:45【26515】,국제어수업,소프트/컴퓨터공학과 반제/ 1만라인프로젝트,31,오프라인,,,전공핵심,전공코어,N,해당없음,5,,,강의저장
N,0,2026,10,2,자연과학,학사,01,,전공기반,SWE3003,42,SWE3003-42,데이터베이스개론,Introduction to Database,3(3),김응모,110425,금09:00-10:15【미지정】/금10:30-11:45【미지정】,일반수업,복수전공생 및 재학생 전용/ 1만라인프로젝트,32,온라인[사전제작],,,전공핵심,전공코어,N,해당없음,5,,,강의저장
N,0,2026,10,2,자연과학,학사,01,,전공기반,SWE3004,41,SWE3004-41,운영체제,Operating Systems,3(3),서의성,219544,화15:00-16:15【26310】/목16:30-17:45【26310】,국제어수업,1만라인프로젝트,31,오프라인,,,전공핵심,전공코어,N,해당없음,5,,,
N,0,2026,10,2,자연과학,학사,01,,전공기반,SWE3004,42,SWE3004-42,운영체제,Operating Systems,3(3),서의성,219544,화12:00-13:15【85613】/목13:30-14:45【85613】,일반수업,1만라인프로젝트,31,오프라인,,,전공핵심,전공코어,N,해당없음,5,,,
N,0,2026,10,2,자연과학,학사,01,,전공기반,SWE3004,43,SWE3004-43,운영체제,Operating Systems,3(3),서의성,219544,화13:30-14:45【85602】/목12:00-13:15【85602】,일반수업,지능형소프트웨어학과 전용반,31,오프라인,,,전공핵심,전공코어,N,해당없음,5,,,
N,0,2026,10,2,자연과학,학사,01,,전공기반,SWE3005,41,SWE3005-41,컴퓨터구조개론,Introduction to Computer Architectures,3(3),민동문,243219,화13:30-14:45【26310】/목12:00-13:15【26310】,일반수업,1만라인프로젝트,31,오프라인,,,전공핵심,전공코어,N,해당없음,5,,,강의저장
N,0,2026,10,2,자연과학,학사,01,,전공기반,SWE3005,42,SWE3005-42,컴퓨터구조개론,Introduction to Computer Architectures,3(3),민동문,243219,화10:30-11:45【85602】【1.5h(ON)+1.5h(OFF)】,국제어수업,1만라인프로젝트,33,플립러닝(온라인[사전제작]+오프라인),,,전공핵심,전공코어,N,해당없음,5,,,강의저장/ *플립러닝:1.5h(ON)+1.5h(OFF)
