_RowType_,_chk,GAESUL_YEAR,GAESUL_TERM,CAMPUS_GB,CAMPUS_NM,HAKWI_NAME,JUKYONGHAKWI_GB,GRADE_NAME,ISU_NAME,HAKSU_NO,BUNBAN,HAKSU_NO_BUNBAN,GWAMOK_NAME,GWAMOK_ENG_NAME,HAKJUM,PER_NAME,PER_ID,GYOSI_NAME,HYUNGTAE,BIGO,SUUP_TYPE_CD,SUUP_TYPE_NM,BOKSUJUNGONG_YN_NAME,ABEEK_YN,ISU_NAME2,ISU_NAME3,HAKBU_JIBJUNG_GB,HAKBU_JIBJUNG_GB_NM,LECTURE_PLAN_TYPE,ABK_PROGRAM,INTRO_URL,INFORM
N,0,2026,20,2,자연과학,학사,01,,전공기반,SWE3026,41,SWE3026-41,확률과랜덤프로세스,Probability and Random Process,3(3),박진영,235368,수10:30-11:45【미지정】【1.5h(ON)+1.5h(OFF)】,국제어수업,지능형소프트웨어학과 전용반,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공심화,N,해당없음,5,,,*플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,20,2,자연과학,학사,01,,전공심화,SWE3028,41,SWE3028-41,캡스톤설계프로젝트,Capstone Design Project,3(3),아에스아부하메드타메르,233346,"금12:00-13:15【미지정】,금13:30-14:45【미지정】",국제어수업,,31,오프라인,,,전공일반,전공심화,N,해당없음,1,,,
N,0,2026,20,2,자연과학,학사,01,,실험실습,SWE3032,41,SWE3032-41,인공지능프로젝트,Artificial Intelligence Project,2(4),우홍욱,229343,"화18:00-18:50【미지정】,화19:00-19:50【미지정】,화20:00-20:50【미지정】,화21:00-21:45【미지정】",일반수업,,,,,,실험실습,실험실습,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,실험실습,SWE3033,41,SWE3033-41,데이터베이스프로젝트,Database Project,2(4),이종욱,227703,"수18:00-18:50【미지정】,수19:00-19:50【미지정】,수20:00-20:50【미지정】,수21:00-21:45【미지정】",국제어수업,,,,,,실험실습,실험실습,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공심화,SWE3050,41,SWE3050-41,기계학습원론,Fundamentals of machine learning,3(3),이종욱,227703,"월13:30-14:45【미지정】,수12:00-13:15【미지정】",일반수업,,,,,,전공일반,전공코어,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공심화,SWE3050,42,SWE3050-42,기계학습원론,Fundamentals of machine learning,3(3),이지형,204248,"월10:30-11:45【미지정】,수09:00-10:15【미지정】",국제어수업,,,,,,전공일반,전공코어,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공심화,SWE3051,41,SWE3051-41,컴퓨터비전개론,Introduction to Computer Vision,3(3),허재필,228493,월12:00-13:15【미지정】【1.5h(ON)+1.5h(OFF)】,일반수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공심화,N,해당없음,5,,,*플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,20,2,자연과학,학사,01,,전공심화,SWE3052,41,SWE3052-41,심층신경망개론,Introduction to Deep Neural Networks,3(3),아에스아부하메드타메르,233346,목10:30-11:45【미지정】【1.5h(ON)+1.5h(OFF)】,국제어수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공심화,N,해당없음,1,,,*플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,20,2,자연과학,학사,01,,전공심화,SWE3052,42,SWE3052-42,심층신경망개론,Introduction to Deep Neural Networks,3(3),이한국,241998,"월15:00-16:15【미지정】,수16:30-17:45【미지정】",일반수업,지능형소프트웨어학과 전용반,31,오프라인,,,전공일반,전공심화,N,해당없음,1,,,
N,0,2026,20,2,자연과학,학사,01,,전공,SWE3053,41,SWE3053-41,HCI개론,Introduction to Human Computer Interaction,3(3),조재민,235372,수10:30-11:45【미지정】【1.5h(ON)+1.5h(OFF)】,일반수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공심화,N,해당없음,5,,,"강의저장, *플립러닝:1.5h(ON)+1.5h(OFF)"
